title,group,dying,flag5,flag10,time,oc,pgr
All cause mortality,1,0,,,0,mortality_cause,htn
All cause mortality,1,0.0045940048,,,0.0164383562,mortality_cause,htn
All cause mortality,1,0.0137818034,,,0.0273972603,mortality_cause,htn
All cause mortality,1,0.0183758082,,,0.0547945205,mortality_cause,htn
All cause mortality,1,0.0275636068,,,0.0575342466,mortality_cause,htn
All cause mortality,1,0.0321576117,,,0.0794520548,mortality_cause,htn
All cause mortality,1,0.0367516165,,,0.0821917808,mortality_cause,htn
All cause mortality,1,0.0459394151,,,0.0931506849,mortality_cause,htn
All cause mortality,1,0.0505334199,,,0.104109589,mortality_cause,htn
All cause mortality,1,0.0551274248,,,0.1068493151,mortality_cause,htn
All cause mortality,1,0.0689088058,,,0.1123287671,mortality_cause,htn
All cause mortality,1,0.0780966044,,,0.1178082192,mortality_cause,htn
All cause mortality,1,0.0826906093,,,0.1205479452,mortality_cause,htn
All cause mortality,1,0.0918784079,,,0.1287671233,mortality_cause,htn
All cause mortality,1,0.0964724128,,,0.1342465753,mortality_cause,htn
All cause mortality,1,0.1056602113,,,0.1424657534,mortality_cause,htn
All cause mortality,1,0.1148480099,,,0.1452054795,mortality_cause,htn
All cause mortality,1,0.1194420148,,,0.1506849315,mortality_cause,htn
All cause mortality,1,0.1240360197,,,0.1534246575,mortality_cause,htn
All cause mortality,1,0.1286300246,,,0.1589041096,mortality_cause,htn
All cause mortality,1,0.1378178231,,,0.1643835616,mortality_cause,htn
All cause mortality,1,0.1424118281,,,0.1863013699,mortality_cause,htn
All cause mortality,1,0.147005833,,,0.197260274,mortality_cause,htn
All cause mortality,1,0.1515998379,,,0.2,mortality_cause,htn
All cause mortality,1,0.1561938428,,,0.2054794521,mortality_cause,htn
All cause mortality,1,0.1607878478,,,0.2219178082,mortality_cause,htn
All cause mortality,1,0.1653818527,,,0.2273972603,mortality_cause,htn
All cause mortality,1,0.1699758576,,,0.2356164384,mortality_cause,htn
All cause mortality,1,0.1837572382,,,0.2410958904,mortality_cause,htn
All cause mortality,1,0.1883512432,,,0.2438356164,mortality_cause,htn
All cause mortality,1,0.1929452481,,,0.2465753425,mortality_cause,htn
All cause mortality,1,0.1975392531,,,0.2493150685,mortality_cause,htn
All cause mortality,1,0.202133258,,,0.2547945205,mortality_cause,htn
All cause mortality,1,0.206727263,,,0.2575342466,mortality_cause,htn
All cause mortality,1,0.211321268,,,0.2684931507,mortality_cause,htn
