title,group,dying,flag5,flag10,time,oc,pgr
All cause mortality,1,0,,,0,mortality_cause,htn
All cause mortality,1,0.0047102047,,,0.0164383562,mortality_cause,htn
All cause mortality,1,0.0141303921,,,0.0273972603,mortality_cause,htn
All cause mortality,1,0.0188405968,,,0.0547945205,mortality_cause,htn
All cause mortality,1,0.0282607842,,,0.0575342466,mortality_cause,htn
All cause mortality,1,0.0329709889,,,0.0794520548,mortality_cause,htn
All cause mortality,1,0.0376811936,,,0.0821917808,mortality_cause,htn
All cause mortality,1,0.047101381,,,0.0931506849,mortality_cause,htn
All cause mortality,1,0.0518115857,,,0.104109589,mortality_cause,htn
All cause mortality,1,0.0565217904,,,0.1068493151,mortality_cause,htn
All cause mortality,1,0.0706517385,,,0.1123287671,mortality_cause,htn
All cause mortality,1,0.0800719259,,,0.1178082192,mortality_cause,htn
All cause mortality,1,0.0847821306,,,0.1205479452,mortality_cause,htn
All cause mortality,1,0.094202318,,,0.1287671233,mortality_cause,htn
All cause mortality,1,0.1036225055,,,0.1424657534,mortality_cause,htn
All cause mortality,1,0.1130426929,,,0.1452054795,mortality_cause,htn
All cause mortality,1,0.1177528976,,,0.1506849315,mortality_cause,htn
All cause mortality,1,0.1224631024,,,0.1534246575,mortality_cause,htn
All cause mortality,1,0.1271733072,,,0.1589041096,mortality_cause,htn
All cause mortality,1,0.1365934945,,,0.1643835616,mortality_cause,htn
All cause mortality,1,0.1413036993,,,0.1863013699,mortality_cause,htn
All cause mortality,1,0.1460139041,,,0.197260274,mortality_cause,htn
All cause mortality,1,0.1507241088,,,0.2,mortality_cause,htn
All cause mortality,1,0.1554343136,,,0.2054794521,mortality_cause,htn
All cause mortality,1,0.1601445184,,,0.2219178082,mortality_cause,htn
All cause mortality,1,0.1648547232,,,0.2273972603,mortality_cause,htn
All cause mortality,1,0.1695649279,,,0.2356164384,mortality_cause,htn
All cause mortality,1,0.1836948756,,,0.2410958904,mortality_cause,htn
All cause mortality,1,0.1884050804,,,0.2438356164,mortality_cause,htn
All cause mortality,1,0.1931152852,,,0.2465753425,mortality_cause,htn
All cause mortality,1,0.19782549,,,0.2493150685,mortality_cause,htn
All cause mortality,1,0.2025356948,,,0.2547945205,mortality_cause,htn
All cause mortality,1,0.2072458996,,,0.2575342466,mortality_cause,htn
All cause mortality,1,0.2119561044,,,0.2684931507,mortality_cause,htn
All cause mortality,1,0.2213762917,,,0.2739726027,mortality_cause,htn
All cause mortality,1,0.2307964789,,,0.2794520548,mortality_cause,htn
All cause mortality,1,0.2355066838,,,0.2821917808,mortality_cause,htn
All cause mortality,1,0.2402168886,,,0.2876712329,mortality_cause,htn
All cause mortality,1,0.2449270934,,,0.2904109589,mortality_cause,htn
All cause mortality,1,0.2496372982,,,0.2931506849,mortality_cause,htn
All cause mortality,1,0.2543475031,,,0.298630137,mortality_cause,htn
All cause mortality,1,0.2590577079,,,0.3095890411,mortality_cause,htn
All cause mortality,1,0.2731876551,,,0.3150684932,mortality_cause,htn
All cause mortality,1,0.2826078423,,,0.3232876712,mortality_cause,htn
All cause mortality,1,0.2873180472,,,0.3287671233,mortality_cause,htn
All cause mortality,1,0.292028252,,,0.3315068493,mortality_cause,htn
All cause mortality,1,0.3014484393,,,0.3342465753,mortality_cause,htn
All cause mortality,1,0.3061586441,,,0.3369863014,mortality_cause,htn
All cause mortality,1,0.310868849,,,0.3397260274,mortality_cause,htn
All cause mortality,1,0.3155790539,,,0.3479452055,mortality_cause,htn
All cause mortality,1,0.3202892588,,,0.3534246575,mortality_cause,htn
All cause mortality,1,0.3249994637,,,0.3589041096,mortality_cause,htn
All cause mortality,1,0.3391294105,,,0.3616438356,mortality_cause,htn
All cause mortality,1,0.3438396155,,,0.3643835616,mortality_cause,htn
All cause mortality,1,0.3485498204,,,0.3698630137,mortality_cause,htn
All cause mortality,1,0.3532600253,,,0.3753424658,mortality_cause,htn
All cause mortality,1,0.3579702302,,,0.3780821918,mortality_cause,htn
All cause mortality,1,0.3673904173,,,0.3863013699,mortality_cause,htn
All cause mortality,1,0.3721006223,,,0.3890410959,mortality_cause,htn
All cause mortality,1,0.3768108272,,,0.3917808219,mortality_cause,htn
All cause mortality,1,0.3815210321,,,0.397260274,mortality_cause,htn
All cause mortality,1,0.3956509787,,,0.402739726,mortality_cause,htn
All cause mortality,1,0.4003611837,,,0.4054794521,mortality_cause,htn
All cause mortality,1,0.4144911303,,,0.4082191781,mortality_cause,htn
All cause mortality,1,0.4192013353,,,0.4136986301,mortality_cause,htn
All cause mortality,1,0.4239115403,,,0.4164383562,mortality_cause,htn
All cause mortality,1,0.4427510234,,,0.4219178082,mortality_cause,htn
All cause mortality,1,0.4474612285,,,0.4273972603,mortality_cause,htn
All cause mortality,1,0.4521714335,,,0.4328767123,mortality_cause,htn
All cause mortality,1,0.4568816386,,,0.4383561644,mortality_cause,htn
All cause mortality,1,0.4663018258,,,0.4410958904,mortality_cause,htn
All cause mortality,1,0.4710120308,,,0.4438356164,mortality_cause,htn
All cause mortality,1,0.4757222359,,,0.4465753425,mortality_cause,htn
All cause mortality,1,0.4851424231,,,0.4602739726,mortality_cause,htn
All cause mortality,1,0.4898526281,,,0.4630136986,mortality_cause,htn
All cause mortality,1,0.4992728153,,,0.4684931507,mortality_cause,htn
All cause mortality,1,0.5039830204,,,0.4794520548,mortality_cause,htn
